A28|English|four knights, Nimzovich variation|c4 e5 Nc3 Nc6 Nf3 Nf6 e4 
A28|English|four knights, Marini variation|c4 e5 Nc3 Nc6 Nf3 Nf6 a3 
A28|English|four knights, Capablanca variation|c4 e5 Nc3 Nc6 Nf3 Nf6 d3 
A28|English|four knights, 4.e3|c4 e5 Nc3 Nc6 Nf3 Nf6 e3 
A28|English|four knights, Stean variation|c4 e5 Nc3 Nc6 Nf3 Nf6 e3 Bb4 Qc2 O-O Nd5 Re8 Qf5 
A28|English|four knights, Romanishin variation|c4 e5 Nc3 Nc6 Nf3 Nf6 e3 Bb4 Qc2 Bxc3 
A29|English|four knights, kingside fianchetto|c4 e5 Nc3 Nc6 Nf3 Nf6 g3 
A30|English|symmetrical variation|c4 c5 
A30|English|symmetrical, hedgehog system|c4 c5 Nf3 Nf6 g3 b6 Bg2 Bb7 O-O e6 Nc3 Be7 
A30|English|symmetrical, hedgehog, flexible formation|c4 c5 Nf3 Nf6 g3 b6 Bg2 Bb7 O-O e6 Nc3 Be7 d4 cxd4 Qxd4 d6 Rd1 a6 b3 Nbd7 
A31|English|symmetrical, Benoni formation|c4 c5 Nf3 Nf6 d4 
A32|English|symmetrical variation|c4 c5 Nf3 Nf6 d4 cxd4 Nxd4 e6 
A33|English|symmetrical variation|c4 c5 Nf3 Nf6 d4 cxd4 Nxd4 e6 Nc3 Nc6 
A33|English|symmetrical, Geller variation|c4 c5 Nf3 Nf6 d4 cxd4 Nxd4 e6 Nc3 Nc6 g3 Qb6 
A34|English|symmetrical variation|c4 c5 Nc3 
A34|English|symmetrical, three knights system|c4 c5 Nc3 Nf6 Nf3 d5 cxd5 Nxd5 
A34|English|symmetrical variation|c4 c5 Nc3 Nf6 g3 
A34|English|symmetrical, Rubinstein system|c4 c5 Nc3 Nf6 g3 d5 cxd5 Nxd5 Bg2 Nc7 
A35|English|symmetrical variation|c4 c5 Nc3 Nc6 
A35|English|symmetrical, four knights system|c4 c5 Nc3 Nc6 Nf3 Nf6 
A36|English|symmetrical variation|c4 c5 Nc3 Nc6 g3 
A36|English|ultra-symmetrical variation|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 
A36|English|symmetrical, Botvinnik system reversed|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 e3 e5 
A36|English|symmetrical, Botvinnik system|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 e4 
